id,citations_google_scholar,date,author,year,title,titre_scholar,similarite
helmeshayes1998,,,"Helmes-Hayes, Rick; Curtis, James (dir.)",1998,The Vertical Mosaic Revisited,,
dofny1969,,,"Dofny, Jacques; Garon-Audy, Muriel",1969,Mobilités professionnelles au Québec,,
cuneo1975,,,"Cuneo, Carl J.; Curtis, James E.",1975,Social ascription in the educational and occupational status attainment of urban Canadians,,
beattie1971,,,"Beattie, Christopher; Spencer, Byron G.",1971,"Career attainment in Canadian bureaucracies: Unscrambling the effects of age, seniority, education, and ethnolinguistic factors on salary",,
wanner2005,,,"Wanner, Richard A.",2005,Twentieth-century trends in occupational attainment in Canada,,
beland1982,,,"Béland, François",1982,Une étude de la mobilité sociale au Québec de 1954 à 1974 et une méthode d'analyse statistique : des résultats divergents,,
lautard1990,,,"Lautard, Hugh; Guppy, Neil",1990,The vertical mosaic revisited: Occupational differentials among Canadian ethnic groups,,
oqlf2022,,2026-09-03,Office québécois de la langue française,2022,Portrait du revenu d'emploi au Québec en 2015 selon les langues utilisées au travail,,0.47
serre2023,,,"Serré, Pierre",2023,Les Anglo-Québécois sont-ils plus pauvres ? Non !,,
veltman1979,,,"Veltman, Calvin J.; Boulet, Jac-André; Castonguay, Charles",1979,The economic context of bilingualism and language transfer in the Montreal metropolitan area,,
boulet1981,,,"Boulet, Jac-André; et al.",1981,Socio-economic achievements of Montreal language groups in 1971,,
veltman1976,,,"Veltman, Calvin J.",1976,Les incidences du revenu sur les transferts linguistiques dans la région métropolitaine de Montréal,,
